Page,Move Name,Group,Image URL
6,Bench Press,Chest,/gym_moves/ExerciseBook_page-0006.jpg
7,Cable Bench Press,Chest,/gym_moves/ExerciseBook_page-0007.jpg
8,Converging Bench Press,Chest,/gym_moves/ExerciseBook_page-0008.jpg
9,Incline Bench Press,Chest,/gym_moves/ExerciseBook_page-0009.jpg
10,Cable Incline Bench Press,Chest,/gym_moves/ExerciseBook_page-0010.jpg
11,Converging Incline Press,Chest,/gym_moves/ExerciseBook_page-0011.jpg
12,Decline Bench Press,Chest,/gym_moves/ExerciseBook_page-0012.jpg
13,Cable Decline Bench Press,Chest,/gym_moves/ExerciseBook_page-0013.jpg
14,Converging Decline Bench Press,Chest,/gym_moves/ExerciseBook_page-0014.jpg
15,Self Stabilizing Chest Press,Chest,/gym_moves/ExerciseBook_page-0015.jpg
16,Cable Pec Fly,Chest,/gym_moves/ExerciseBook_page-0016.jpg
17,Cable Incline Fly,Chest,/gym_moves/ExerciseBook_page-0017.jpg
18,Cable Low Fly,Chest,/gym_moves/ExerciseBook_page-0018.jpg
20,Shoulder Press,Shoulders,/gym_moves/ExerciseBook_page-0020.jpg
21,Cable Shoulder Press,Shoulders,/gym_moves/ExerciseBook_page-0021.jpg
22,Converging Shoulder Press,Shoulders,/gym_moves/ExerciseBook_page-0022.jpg
23,Cable Lateral Raise,Shoulders,/gym_moves/ExerciseBook_page-0023.jpg
24,Cable Front Raise,Shoulders,/gym_moves/ExerciseBook_page-0024.jpg
25,Standing Cable Lateral Raise,Shoulders,/gym_moves/ExerciseBook_page-0025.jpg
26,Standing Front Raise,Shoulders,/gym_moves/ExerciseBook_page-0026.jpg
27,Upright Row,Shoulders,/gym_moves/ExerciseBook_page-0027.jpg
28,Shrugs,Shoulders,/gym_moves/ExerciseBook_page-0028.jpg
29,External Rotator,Shoulders,/gym_moves/ExerciseBook_page-0029.jpg
30,Internal Rotator,Shoulders,/gym_moves/ExerciseBook_page-0030.jpg
32,Lat Pull Down,Back,/gym_moves/ExerciseBook_page-0032.jpg
33,Low Cable Row,Back,/gym_moves/ExerciseBook_page-0033.jpg
34,Mid Row,Back,/gym_moves/ExerciseBook_page-0034.jpg
35,One Arm Row,Back,/gym_moves/ExerciseBook_page-0035.jpg
36,Front Lat Pullover,Back,/gym_moves/ExerciseBook_page-0036.jpg
37,Seated Cable Mid Row,Back,/gym_moves/ExerciseBook_page-0037.jpg
38,Self Stabilizing Mid Row,Back,/gym_moves/ExerciseBook_page-0038.jpg
40,Cable Arm Curl,Arms,/gym_moves/ExerciseBook_page-0040.jpg
41,Standing Bar Curl,Arms,/gym_moves/ExerciseBook_page-0041.jpg
42,Overhead Biceps Curl,Arms,/gym_moves/ExerciseBook_page-0042.jpg
43,Arm Curl From Mid Pulley,Arms,/gym_moves/ExerciseBook_page-0043.jpg
44,Triceps Pushdown,Arms,/gym_moves/ExerciseBook_page-0044.jpg
45,Triceps Extension,Arms,/gym_moves/ExerciseBook_page-0045.jpg
46,Triceps Extension From High Pulley,Arms,/gym_moves/ExerciseBook_page-0046.jpg
47,Triceps Kickback,Arms,/gym_moves/ExerciseBook_page-0047.jpg
49,Ab Crunch,Core,/gym_moves/ExerciseBook_page-0049.jpg
50,Reverse Crunch (Seated Knee Raise),Core,/gym_moves/ExerciseBook_page-0050.jpg
51,Oblique Twist,Core,/gym_moves/ExerciseBook_page-0051.jpg
52,Side Bends,Core,/gym_moves/ExerciseBook_page-0052.jpg
54,Leg Extension,Legs,/gym_moves/ExerciseBook_page-0054.jpg
55,Standing Leg Curl,Legs,/gym_moves/ExerciseBook_page-0055.jpg
56,Seated Leg Curl,Legs,/gym_moves/ExerciseBook_page-0056.jpg
57,Leg Press,Legs,/gym_moves/ExerciseBook_page-0057.jpg
58,Calf Raise,Legs,/gym_moves/ExerciseBook_page-0058.jpg
59,Hip Adduction,Legs,/gym_moves/ExerciseBook_page-0059.jpg
60,Hip Abduction,Legs,/gym_moves/ExerciseBook_page-0060.jpg
61,Glute Kick,Legs,/gym_moves/ExerciseBook_page-0061.jpg
